EICno,mzmed,rtmed,ACN_80_A1,ACN_80_A2,ACN_80_B1,ACN_80_B2,ACN_80_C1,ACN_80_C2,MeOH_80_A1,MeOH_80_A2,MeOH_80_B1,MeOH_80_B2,MeOH_80_C1,MeOH_80_C2
12198,505.1768017,858.417,3414.736084,3564.367188,3561.978027,4517.82373,4068.703369,10794.34668,1786.671265,2539.806885,1497.175537,1773.06958,2725.111328,2011.437134
17144,648.5139485,858.424,728.9863281,2379.027588,2405.337891,3284.295166,2813.811035,3205.90332,1128.405151,1408.235107,1087.428345,1471.946533,2340.01001,1818.83374
17115,647.5108505,858.4245,3132.840332,5920.239746,4981.936035,6195.834473,5901.780762,7729.931641,2699.8396,3160.199951,2852.075684,4683.34082,5233.086426,3345.448975
12106,503.1600025,858.426,980.1660767,713.2674561,972.8448486,970.3369141,934.6509399,1358.567993,473.5654297,582.9307861,473.8086243,585.0073853,815.5210571,418.3884277
16392,624.1676222,858.43,692.1212158,974.0088501,722.0474854,1168.245728,803.697998,979.0612183,525.8422852,539.0425415,372.5125122,725.4309692,634.9665527,425.9298096
11758,494.160574,858.4425,851.2698975,720.0797119,1227.339355,1294.04834,1024.614868,1656.811035,485.0526733,727.2998047,635.4553833,595.2459717,763.880127,556.7918701
20957,783.5627077,858.446,810.666687,1117.110718,1077.930176,1624.79126,1216.79187,1444.925903,1120.162842,822.5307007,761.0525513,633.5117188,1030.574463,843.09198
16319,622.1183102,858.45,2164.760742,2497.380371,2777.258545,3401.003418,3256.810547,5255.241699,1072.360352,1647.285889,1660.579468,1517.299438,2269.492188,1513.750854
12290,507.1757968,858.458,1443.80603,1167.862305,1292.728516,1046.751221,2021.726685,2465.893555,572.9292603,1099.04187,785.0046997,722.7162476,1382.753906,546.0220337
11660,491.1614402,858.4735,5325.049805,5720.789551,7839.371094,9536.242188,7786.240234,16861.97852,3301.937988,3334.848389,3643.089111,2675.327881,5116.59082,3603.142578
12235,506.1778464,858.488,1965.449341,1866.889038,1586.757568,2556.217773,2662.675537,4550.973145,989.5998535,860.3392944,904.0656128,1001.76001,1898.206665,954.6984253
13785,544.2857592,858.55,1572.974121,1762.388672,1723.889038,1542.863281,1125.710327,1429.081177,1734.678833,1825.764648,1780.903076,653.0021973,1983.319946,985.5328979
20983,784.5491159,858.596,1469.297852,2933.913574,2223.885254,2176.011719,1775.255005,4003.956787,1060.228394,1305.964355,1269.483032,1565.994385,1918.612549,1178.120117
11237,479.1440352,858.6145,813.7695923,1168.451294,1622.800781,1590.00354,1282.708984,2781.02002,725.78125,665.6020508,671.5282593,529.3806152,1100.964722,843.5949097
12151,504.2846938,858.711,3995.741943,4687.930176,3388.012451,3994.875,3445.640869,3224.835205,3657.931885,3489.703125,2957.474609,984.5776367,2202.140381,2539.066895
19631,731.3418666,858.735,947.2600708,827.1109619,924.37323,879.7296753,591.6513062,1265.702515,335.0110474,954.8914185,493.2469482,594.5764771,497.3832397,502.5638428
